Symbol,Name,Sector,Price,PERatio,Price_Earnings,Dividend_Yield,52_Week_Low,52_Week_High,Market_Cap,EBITDA,Price_Sales,PBRatio,ROE,CurrentRatio,debtToEquity,interestcoverageratio,netincome,epsgrowth,longtermdebt,shareholderequity,Flag1,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,Graham_Number,QualityRating
ALB,Albemarle Corp,Materials,105.18,10.15,26.03,1.2004126,144.99,90.35,11782151266,686030000,5.3666205,2.27,19.11,1.69,47.56,17.64949437,739140000,11.9355,1400000000,3590000000,1,1,0,1,1,1,1,1,36.4620659,
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,45.97,19.03,3.0262272,134.37,106.89,12043374429,0,10.492155,1.76,5.62,0,75.28,0,-396760000,1.2265,5470000000,7340000000,1,1,1,0,0,1,0,0,27.45155733,AA
ALXN,Alexion Pharmaceuticals,Health Care,108.47,329.49,22.18,0,149.34,96.18,26172439795,1072000000,9.720562,2.37,0.86,2.88,34.99,18.06797853,77600000,-0.824,2860000000,9170000000,1,0,1,0,0,1,1,1,34.39111077,
ALGN,Align Technology,Health Care,220.71,56.04,56.59,0,287.32,92.61,18788041378,380326000,13.138819,13.34,33.31,1.88,0,0,400240000,0.7301,0,1250000000,1,1,1,1,1,0,1,0,130.3283872,
ALLE,Allegion,Industrials,77.32,27.06,21.07,0.8004002,89.81,66.72,7599609494,531800000,4.265232,11.59,82.63,1.79,221.94,11.14234875,435400000,0.5951,1410000000,-651000000,1,1,1,1,1,0,1,1,74.12509191,
AGN,"Allergan, Plc",Health Care,164.2,-12.21,10.65,1.643289,256.8,160.07,56668833898,-2888100000,4.820115,0.68,-7.34,1.13,36.55,7.802897278,-5090000000,-0.157,22930000000,65110000000,1,0,0,0,0,1,1,1,12.76499119,
ADS,Alliance Data Systems,Information Technology,240.6,6.02,13.02,0.9240122,278.33,209,13632608582,2143200000,1.7282298,3.44,46,2.15,1079.86,3.549060543,963100000,0.2389,15780000000,2330000000,1,1,0,1,0,1,1,1,31.74504686,
LNT,Alliant Energy Corp,Utilities,37.14,24.23,19.86,3.5733333,45.55,36.84,8670163500,1168400000,3.4331481,2.17,11.39,0.48,129.62,5.430879713,522299999,0.1011,5250000000,4790000000,1,1,1,0,0,1,0,1,31.13943641,
ALL,Allstate Corp,Financials,90.06,18.64,13.26,1.5278208,105.36,77.73,34759468905,0,1.2085556,1.42,10.27,0.41,33.28,0,2250000000,-0.2874,6130000000,21310000000,1,0,1,0,1,1,0,0,20.58292982,
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,30.65,31.48,0,1198,824.3,7.34E+11,34217000000,6.801692,4.09,18.62,3.92,2.26,355.877193,30740000000,1.4196,4010000000,1.78E+11,1,1,1,1,1,1,1,1,53.82329421,AA
GOOG,Alphabet Inc Class C,Information Technology,1001.52,30.65,40.29,0,1186.89,803.1903,7.29E+11,32714000000,6.772653,4.09,18.62,3.92,2.26,355.877193,30740000000,1.4196,4010000000,1.78E+11,1,1,1,1,1,1,1,1,60.89078132,
MO,Altria Group Inc,Consumer Staples,64.05,13.7,18.89,3.9526875,77.79,60.01,1.27E+11,10773000000,4.945682,6.26,46.11,0.2,174.11,20.45655376,6960000000,-0.3051,11900000000,14790000000,1,0,0,1,1,0,0,1,51.58155193,AA
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,86.95,296.16,0,1498,812.5,6.86E+11,16132000000,3.927053,16.93,28.27,1.1,113.18,17.83802817,-10070000000,2.2722,39790000000,43550000000,1,1,1,1,0,0,1,1,335.8790675,
AEE,Ameren Corp,Utilities,52.59,22.68,20.38,3.4404964,64.89,51.81,12905744906,2298000000,2.693119,2.09,11,0.57,118.41,6.009975062,821000000,0.5507,7860000000,7630000000,1,1,1,0,0,1,0,1,30.95754351,
AAL,American Airlines Group,Industrials,48.6,9.15,9.92,0.7782101,59.08,39.21,24594852352,5761000000,0.58022565,0,75.17,0.48,0,5.29245283,1410000000,0.1603,29080000000,-169000000,1,1,0,1,0,1,0,1,0,
AEP,American Electric Power,Utilities,63.38,23.71,17.32,3.8479443,78.07,62.69,31701916517,4450800000,2.7489934,1.94,10.31,0.48,134.25,5.196786332,1930000000,0.0039,21880000000,19030000000,1,1,1,0,0,1,0,1,27.49578149,AA
AXP,American Express Co,Financials,88.34,15.27,15,1.4955667,102.385,75.51,80410990000,0,2.273575,3.62,33.9,0,276.01,0,6870000000,1.6433,47110000000,22290000000,1,1,1,1,0,1,0,0,34.95354059,
AIG,"American International Group, Inc.",Financials,58.28,-5186,23.22,2.1167521,67.3,57.85,54360073164,0,1.4686536,0.61,0.06,0.76,61.28,0,-103000000,0.9985,33150000000,56360000000,1,1,0,0,0,1,0,0,17.85201669,
AMT,American Tower Corp A,Real Estate,133.57,76.61,20.68,2,155.28,103.36,59213892640,3792383000,11.954137,13.08,21.36,0,396.54,0,1260000000,0.0372,18410000000,5340000000,1,1,1,1,0,0,0,0,78.0136142,
AWK,American Water Works Company Inc,Utilities,76.06,38.94,26.23,2.129297,92.37,71.89,13906146184,1711000000,5.553833,2.8,10.08,0.37,146.85,4.59833795,565000000,0.318,7580000000,5860000000,1,1,1,0,0,1,0,1,40.65083025,
AMP,Ameriprise Financial,Financials,152.5,11.61,12.41,2.0735743,183.9,118.84,23472126000,0,1.9493247,2.55,36.22,0,86.1,0,2100000000,0.501,4610000000,5590000000,1,1,0,1,1,1,0,0,26.68377316,AA
ABC,AmerisourceBergen Corp,Health Care,91.55,21.85,15.54,1.6132456,106.27,71.9,20587704101,991884000,0.17396984,5.91,29.44,0.95,156.08,12.07346396,-854140000,-0.4652,4350000000,2880000000,1,0,1,1,0,0,0,1,45.45801909,
AME,AMETEK Inc,Industrials,72.05,29.48,27.61,0.75512403,78.51,51.31,17139651923,1025763000,4.015368,3.62,18.81,1.46,62.06,15.57556583,777930000,0.1386,2270000000,4240000000,1,1,1,1,1,1,1,1,47.42187786,
AMGN,Amgen Inc,Health Care,173.12,18.52,13.76,2.9751508,201.23,152.16,1.28E+11,11945000000,5.58192,9.81,44.48,2.79,271.43,8.827338129,8390000000,3.6859,29510000000,12500000000,1,1,1,1,1,0,1,1,55.11057975,
APH,Amphenol Corp,Information Technology,84.44,27.02,25.9,0.8608971,93.62,67.26,26955335395,1671700000,3.85675,6.02,30.1,1.86,88.89,19.66568338,1220000000,0.8779,2810000000,4019999999,1,1,1,1,1,0,1,1,59.22968006,
APC,Anadarko Petroleum Corp,Energy,56.2,22.78,-21.29,1.7029973,70,39.96,32129091747,3115000000,3.9682212,10.74,55.92,1.54,119.4,20.82122905,55260000000,-0.0037,91810000000,90490000000,1,0,1,1,1,0,1,1,71.72676279,D
ADI,"Analog Devices, Inc.",Information Technology,82.68,31.78,17.67,2.108963,98.38,74.65,31811578855,1663384000,8.00391,3.44,11.98,1.32,46.9,11.32271919,1360000000,-0.0909,5190000000,11710000000,1,0,1,0,1,1,1,1,36.98186042,C
ANDV,Andeavor,Energy,96.9,0,18.78,2.3454583,121.71,75.11,15696449735,2548000000,0.6618165,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,B
ANSS,ANSYS,Information Technology,148.84,52.59,42.53,0,164.9,94.52,13155919129,458515000,16.8134,4.51,17.13,2.5,0,0,419380000,0.6361,0,2650000000,1,1,1,1,1,1,1,0,65.6942292,A
ANTM,Anthem Inc.,Health Care,230.57,20.1,19.23,1.2581781,267.95,156.81,61221978627,0,0.6696521,2.37,13.63,2.16,67.31,0,3750000000,-0.0116,17220000000,28540000000,1,0,1,0,1,1,1,0,32.02248819,
AON,Aon plc,Financials,136.05,48.36,20.8,1.0245464,152.78,113.2201,35123123422,1858000000,3.4972682,8.41,24.27,0,150.42,0,1100000000,1.4811,5990000000,4150000000,1,1,1,1,0,0,0,0,62.73659219,A
APA,Apache Corporation,Energy,37.73,191.9,-251.53,2.528445,57.9,38.14,15066280977,3265000000,3.651366,1.38,0.55,1.22,115.06,11.72413793,-286000000,-0.9694,8050000000,7130000000,1,0,1,0,0,1,1,1,88.37424116,A
AIV,Apartment Investment & Management,Real Estate,38.21,12.13,15.6,3.876562,46.855,38.85,6156884142,874871000,6.187621,4.16,39.56,0,258.87,0,715570000,1.146,3910000000,1700000000,1,1,0,1,0,1,0,0,38.21203999,D
AAPL,Apple Inc.,Information Technology,155.15,22.78,16.86,1.5795412,180.1,131.12,8.10E+11,79386000000,3.4586093,10.74,55.92,1.54,119.4,20.82122905,55260000000,-0.0037,91810000000,90490000000,1,0,1,1,1,0,1,1,63.82960912,
AMAT,Applied Materials Inc,Information Technology,45.75,19.79,14.08,0.8215239,60.89,34.58,51296481503,4336000000,4.7020154,0,35.95,2.3,64.68,15.65400844,2710000000,-0.1169,4710000000,8210000000,1,0,1,1,1,1,1,1,0,C
APTV,Aptiv Plc,Consumer Discretionary,89.27,23.31,69.74,0.9392678,96.91,82.97,24906530300,2370000000,1.5025798,4.63,31.58,1.29,125.59,16.09929078,1110000000,-0.2044,4040000000,3460000000,1,0,1,1,1,1,1,1,85.23593432,B
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,13.76,17.45,3.1761081,47.44,38.59,23594770663,2927000000,0.52478915,1.21,9.71,1.75,44.19,7.97260274,1820000000,0.1448,7700000000,18980000000,1,1,0,0,1,1,1,1,21.79624394,
ARNC,Arconic Inc,Industrials,24.45,23.97,20.21,0.9561753,31.17,21.755,12123300000,1517000000,0.94214815,1.48,12.25,1.87,114.72,5.106382979,-642000000,5.75,5900000000,5570000000,1,1,1,0,0,1,1,1,25.94210863,
AJG,Arthur J. Gallagher & Co.,Financials,64.4,27.57,21.05,2.4807138,70.55,53.63,11968488290,888000000,1.9400215,3.01,14.73,0,80.25,0,675900000,0.2996,3090000000,4500000000,1,1,1,0,1,1,0,0,37.75726751,
AIZ,Assurant Inc,Financials,85.16,33.06,33.27,2.5313594,106.985,85.91,4653993594,0,0.9821866,1.08,5.35,2.08,65.03,0,252600000,-0.5767,3220000000,5110000000,1,0,1,0,0,1,1,0,28.43344861,
T,AT&T Inc,Telecommunication Services,35.57,13.4,12.14,5.4156513,42.7,32.55,2.27E+11,49653000000,1.4083152,1.13,11.92,0.8,95.88,7.044247788,19950000000,-0.4015,1.66E+11,1.84E+11,1,0,0,0,0,1,0,1,17.56870798,
ADSK,Autodesk Inc,Information Technology,104.81,-485.8,-77.07,0,131.1,81.75,24348294504,-378100000,16.50682,0,0,0.7,0,-2.374760994,-80800000,0.8569,2089999999,-210900000,1,1,0,0,0,1,0,0,0,C
ADP,Automatic Data Processing,Information Technology,108.25,32.44,29.34,2.2190912,125.24,95.5,50337702249,2767400000,4.0483294,13.29,51.76,1.05,41.93,26.25096228,2290000000,0.2313,2000000000,5400000000,1,1,1,1,1,0,1,1,93.66639472,
AZO,AutoZone Inc,Consumer Discretionary,718.57,18.49,16.31,0,797.89,491.13,19922021415,2347304000,1.8510429,0,0,0.77,0,13.57894737,1620000000,0.3062,4179999999,-1710000000,1,1,1,0,1,1,0,1,0,C
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,30.63,17.97,3.7149355,199.52,156.01,21856547430,1331579000,10.251216,2.27,9.25,0,66.4,0,971340000,0.1085,6940000000,10630000000,1,1,1,0,0,1,0,0,30.29550709,
AVY,Avery Dennison Corp,Materials,110.77,24.67,22.11,1.5682175,123.67,78.471,10104814319,831200000,1.5206499,7.88,46.71,1.15,205.86,16.92478632,467400000,0.6776,1770000000,955100000,1,1,1,1,1,0,1,1,62.61072592,B
BHGE,"Baker Hughes, a GE Company",Energy,27.5,0,305.56,2.4991322,57.73,28.03,32995712852,285000000,1.9390045,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,A-
BLL,Ball Corp,Materials,38.44,49.26,20.56,1.0170354,43.24,35.6,13767688518,1317000000,1.5696399,4.46,12.27,0.96,194.59,5.174603175,453000000,0.2336,6510000000,3460000000,1,1,1,0,0,1,0,1,45.42241737,A
BAC,Bank of America Corp,Financials,29.74,12.91,16.34,1.536,32.67,22.07,3.21E+11,0,3.2011874,0.98,10.57,0.41,179.64,0,28150000000,0.6222,1.91E+11,2.65E+11,1,1,0,0,0,1,0,0,18.98149098,A
BAX,Baxter International Inc.,Health Care,62.56,27.96,25.12,0.97635394,72.58,48.15,35713732553,1832000000,3.4394414,4.33,19.27,2.09,44.61,26.28865979,1630000000,1.3095,3470000000,7790000000,1,1,1,1,1,1,1,1,49.47035476,B
BBT,BB&T Corporation,Financials,51.07,13.87,16.26,2.4526198,55.99,41.17,42087562920,0,3.4552107,1.22,10.83,0.02,106.72,0,3260000000,0.4266,18870000000,30120000000,1,1,0,0,0,1,0,0,21.12668928,
BDX,Becton Dickinson,Health Care,211.44,66.17,22.28,1.3518385,248.3888,175.66,50910180308,1537000000,5.6912947,3.25,5.87,1.18,91.99,7.856025039,1230000000,5.4677,18080000000,21080000000,1,1,1,0,0,1,1,1,40.3636594,
BRK.B,Berkshire Hathaway,Financials,191.42,136.51,30.43,0,217.62,160.93,2.61E+11,0,1.4328232,1.44,1.15,3.63,30.28,10.88051948,4320000000,-0.9105,89000000000,3.49E+11,1,1,1,1,1,1,1,1,31.39955414,AA
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,15.77,19.22,1.9085041,78.59,41.67,20831186176,2555000000,0.76715523,4.7,42.32,1.18,41.98,37.39726027,1460000000,0.5911,1330000000,3310000000,1,1,1,1,1,1,1,1,45.08342267,
BIIB,Biogen Inc.,Health Care,311.79,13.91,14.3,0,370.57,244.28,69157726427,6511400000,5.737439,4.55,34.54,2.32,45.53,28.96311067,4470000000,0.811,5940000000,13040000000,1,1,0,1,1,1,1,1,38.2617629,
BLK,BlackRock,Financials,509.38,18.65,22.49,2.1643558,594.52,368,85907759858,5684000000,6.9158196,1.91,13.41,0,15.64,0,4300000000,-0.1205,4059999999,32369999999,1,0,1,0,1,1,0,0,31.08870776,
HRB,Block H&R,Financials,25.19,11.53,12.29,3.7296038,31.8,19.85,5381433872,894754000,2.0188456,10.15,95,2.16,275.63,8.988971855,444220000,-0.2994,1490000000,-541530000,1,0,0,1,1,0,1,1,52.97856878,
BA,Boeing Company,Industrials,329.66,19.84,27.29,1.9648397,361.45,163.69,2.06E+11,12476000000,2.1560605,540.01,3012.39,1.08,4084.66,29.30526316,10450000000,0.2865,10660000000,339000000,1,1,1,1,1,0,1,1,575.8295236,
BWA,BorgWarner,Consumer Discretionary,51.94,9.76,14.15,1.2363636,58.22,37.54,11596117445,867900000,1.5831376,1.71,23.44,1.59,50.01,25.29411765,984600000,1.1384,1940000000,4230000000,1,1,0,1,1,1,1,1,23.3328363,
BXP,Boston Properties,Real Estate,112.09,37.64,18.05,2.7744062,140.13,111.87,17799878487,1546846000,6.839459,3.06,9.96,0,193.69,0,712460000,0.2662,10990000000,5880000000,1,1,1,0,0,1,0,0,35.2525531,
BSX,Boston Scientific,Health Care,25.2,37.04,20,0,29.93,23.29,36142506007,1726000000,4.055685,5.61,21.24,0.76,80.86,9.776951673,-1670000000,14.125,4800000000,8730000000,1,1,1,1,0,0,0,1,50.24440267,
BHF,Brighthouse Financial Inc,Financials,55.44,5.53,22.63,0,75,52.751,7066613254,0,1.4188358,0.25,5.98,3.66,27.49,0,-870000000,3.2958,3960000000,14420000000,1,1,0,0,0,1,1,0,11.28245319,
BMY,Bristol-Myers Squibb,Health Care,62.69,19.95,20.83,2.5546863,66.1,51.12,1.03E+11,5170000000,6.503231,6.02,38.18,1.61,52.38,38.79781421,4950000000,3.9214,5650000000,14030000000,1,1,1,1,1,0,1,1,53.11707353,
AVGO,Broadcom,Information Technology,229.57,11.11,15.94,2.9488583,285.68,202.61,92791974933,7016000000,6.961893,3.42,52.31,3.9,65.62,15.0477707,-12630000000,6.0162,17490000000,26660000000,1,1,0,1,0,1,1,1,35.02260698,
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,36.57,37.04,1.1216964,69.9028,45.415,5498033502,1139000000,1.8411398,15.44,56.36,3.87,148.15,13.52272727,835000000,0.1679,2290000000,1650000000,1,1,1,1,1,0,1,1,113.4358673,
CHRW,C. H. Robinson Worldwide,Industrials,90.47,16.06,26,1.987685,100.18,63.41,12932483889,868096000,0.85282737,7.24,43.99,1.92,84.41,31.75102169,664510000,0.3316,1340000000,1600000000,1,1,1,1,1,0,1,1,65.07995083,
CA,"CA, Inc.",Information Technology,32.66,60.36,14.32,3,36.56,30.45,14175422936,1613000000,3.3742425,5.77,10.24,14.75,0,0,31370000,0.2152,0,309150000,1,1,1,0,1,0,1,0,43.11721234,
COG,Cabot Oil & Gas,Energy,23.01,12.92,60.55,1.0269576,29.57,21.4,10808821635,404951000,8.636729,4.52,24.16,1.9,58.72,17.21311475,-557040000,4.6832,1230000000,2089999999,1,1,0,1,0,1,1,1,78.47251111,
CDNS,Cadence Design Systems,Information Technology,36.82,54.62,34.09,0,46,29.01,10890625200,455607000,5.751737,9.42,30.36,1.34,34.56,22.73206569,345780000,0.6843,345290000,1290000000,1,1,1,1,1,0,1,1,85.00220879,
CPB,Campbell Soup,Consumer Staples,44.83,53.02,14.84,3.125,64.23,43.5,13467193376,1683000000,2.3898203,11.18,38.43,0.58,768.27,4.406779661,474000000,0.0421,7100000000,1100000000,1,1,1,1,0,0,0,1,61.09829785,
COF,Capital One Financial,Financials,91.8,8.58,11.85,1.6306564,106.5,76.05,47637260000,0,1.5931405,0.68,11.92,0.06,114.01,0,5990000000,2.3802,37330000000,51670000000,1,1,0,0,0,1,0,0,13.46495451,
CAH,Cardinal Health Inc.,Health Care,66.63,12.12,12.29,2.8394227,84.88,54.66,20493281175,1913000000,0.21131156,2.23,22.01,1.07,126.91,9.557823129,1370000000,4.5406,7580000000,6330000000,1,1,0,1,0,1,1,1,24.83245356,
KMX,Carmax Inc,Consumer Discretionary,64.34,20.33,19.44,0,77.64,54.29,11827453706,1339628000,0.6913859,3.1,25.25,2.45,423.13,10.2752342,842410000,0.3281,13810000000,3360000000,1,1,1,1,0,1,1,1,36.82309058,
CCL,Carnival Corp.,Consumer Discretionary,66.76,10.08,17.48,2.6041667,72.7,54.75,49180044050,4711000000,2.8147783,1.72,12.96,0.24,42.23,27.5257732,3150000000,0.2327,7900000000,24440000000,1,1,0,0,1,1,0,1,26.00915224,
CAT,Caterpillar Inc.,Industrials,145.99,13.91,21.22,2.0215108,173.24,90.34,91822049046,8136000000,2.0468428,5.21,44.33,1.37,260.37,28.50374065,-6150000000,7.1811,25000000000,14040000000,1,1,0,1,0,0,1,1,49.87498872,
CBOE,CBOE Holdings,Financials,111.15,32.05,35.06,0.9426963,138.54,76.75,12998295607,488406000,8.249042,3.37,13.29,0,37.5,0,422100000,0.0202,915600000,3240000000,1,1,1,0,1,1,0,0,51.55991175,
CBG,CBRE Group,Real Estate,41.92,73.8,15.82,0,46.6,30.43,14440591731,1652961000,1.4622321,4.28,16.21,0.9,66.06,16.84604586,960320000,-0.0731,4059999999,7180000000,1,0,1,1,1,1,0,1,39.03160258,
CBS,CBS Corp.,Consumer Discretionary,51.8,-4.57,12.05,1.3473054,70.095,52.75,20431395736,2841000000,2.1055017,8.67,-38.78,6.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,48.48354102,
CELG,Celgene Corp.,Health Care,91.02,0,13.27,0,147.17,92.85,74921079154,5233000000,5.830071,7.28,61.86,2.23,329.01,38.79781421,4950000000,3.9214,5650000000,14030000000,1,1,0,1,1,0,1,1,46.62216211,
CNC,Centene Corporation,Health Care,100.36,26.98,19.12,0,112.42,65.03,18012494506,2063000000,0.5028663,2.18,10.13,0.94,61.24,0,894000000,-0.0391,6650000000,10920000000,1,0,1,0,0,1,0,0,30.62410815,
CNP,CenterPoint Energy,Utilities,25.85,34,19.73,4.2109256,30.45,25.51,11362043297,2337000000,1.6262617,2.24,5.77,2.13,145.05,5.047619048,-368000000,-0.8216,8680000000,8060000000,1,0,1,0,0,1,1,1,31.53398167,
CTL,CenturyLink Inc,Telecommunication Services,16.2,-8.71,8.35,12.661196,27.61,13.161,18237196861,5577000000,1.4795984,0.83,-8,0.66,181.87,4.041284404,-1730000000,-1.7349,35410000000,19830000000,1,0,0,0,0,1,0,1,12.48744369,
CERN,Cerner,Health Care,61.22,37.72,27.09,0,73.86,51.2617,21101697598,1523440000,5.5560412,3.42,12.97,2.41,9,177.7221527,630060000,-0.271,438800000,4930000000,1,0,1,0,1,1,1,1,45.65715169,
CF,CF Industries Holdings Inc,Materials,37.46,36.55,-59.46,3.0395136,43.98,25.04,9209106695,711000000,3.0044448,3.28,8.87,1.81,158.82,6.514522822,-428000000,-0.1868,4700000000,2960000000,1,0,1,0,0,1,1,1,66.24309775,
SCHW,Charles Schwab Corporation,Financials,48.9,19.98,29.82,0.76878726,56.25,37.16,69750188843,0,7.949615,3.1,17.9,0,38.47,0,3510000000,0.5153,6870000000,20670000000,1,1,1,1,1,1,0,0,45.60641402,
CHTR,Charter Communications,Consumer Discretionary,348.65,0,162.92,0,408.83,308.3,86708878113,14694000000,2.1208634,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
CHK,Chesapeake Energy,Energy,2.82,0.89,4.7,0,6.59,2.8,2626102121,1470000000,0.40765184,0,0,0.57,0,5.655737705,-871000000,-0.0527,7340000000,-344000000,1,0,0,0,0,1,0,1,0,
CVX,Chevron Corp.,Energy,112.3,15.24,27.52,3.885853,133.88,102.55,2.19E+11,28877000000,1.6489863,1.34,9.8,1.25,22.3,45.30748663,-14860000000,0.5994,28730000000,1.55E+11,1,1,1,0,0,1,1,1,28.80499957,
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,130.35,45.86,0,499,263,7685283970,401293000,2.5523853,8.3,12.25,1.81,0,0,176550000,0.0258,0,1440000000,1,1,1,0,1,0,1,0,92.54380044,
CB,Chubb Limited,Financials,140.39,17.93,17.5,1.9251627,157.5,130.17,68424670566,0,2.0985637,1.18,7.81,0.42,28.47,0,3960000000,0.0345,12400000000,50310000000,1,1,1,0,1,1,0,0,21.55516179,
CHD,Church & Dwight,Consumer Staples,47.38,30.97,24.42,1.8366054,54.1799,43.21,11838963451,868000000,3.1682448,6.62,24.34,0.81,85.87,11.67884131,568600000,-0.2202,1510000000,2450000000,1,0,1,1,1,0,0,1,60.31052147,
CI,CIGNA Corp.,Health Care,189.27,18.87,18.11,0.020466639,227.13,141.93,47680910480,0,1.550762,1.76,9.63,0.6,103.53,0,2650000000,0.1984,39520000000,41030000000,1,1,1,0,0,1,0,0,26.77976848,
XEC,Cimarex Energy,Energy,100.19,5.75,26.37,0.30214334,136.31,89.49,10089082025,1061056000,7.556446,1.77,26.48,2.01,44.7,33.14333967,-780760000,0.6016,1490000000,3330000000,1,1,0,1,0,1,1,1,32.40656184,
